80.647,46.187,64.054,35.881,60.385,81.719,38.259,119.91,88.62,59.039,32.571,45.966,86.506,74.233,58.022,46.242,26.335,65.72,33.971,53.733,16.425,78.475,13.426,95.436,80.592,64.218,30.733,42.884,29.851,59.823,80.623,78.96
80.017,46.351,63.996,35.48,59.989,80.653,37.757,121.05,88.303,59.206,31.502,46.032,85.779,74.503,56.997,46.237,26.047,64.641,33.583,53.391,16.275,77.729,12.863,95.561,80.12,63.951,29.364,42.31,29.458,59.123,79.59,79.208
79.39,46.5,63.912,35.078,59.595,79.584,37.259,122.13,87.984,59.365,30.478,46.096,85.056,74.753,56.008,46.233,25.761,63.577,33.197,53.033,16.125,76.987,12.334,95.677,79.65,63.684,28.072,41.74,29.067,58.427,78.564,79.442
78.765,46.633,63.802,34.674,59.202,78.512,36.764,123.15,87.665,59.515,29.497,46.159,84.336,74.983,55.054,46.23,25.477,62.527,32.814,52.658,15.977,76.249,11.84,95.783,79.18,63.417,26.854,41.174,28.68,57.736,77.545,79.662
78.143,46.752,63.669,34.27,58.811,77.437,36.273,124.1,87.344,59.658,28.559,46.22,83.619,75.193,54.136,46.228,25.195,61.492,32.434,52.268,15.829,75.516,11.379,95.879,78.712,63.151,25.709,40.613,28.296,57.05,76.534,79.868
77.523,46.857,63.511,33.864,58.421,76.359,35.786,124.99,87.022,59.792,27.663,46.28,82.905,75.383,53.251,46.228,24.88,60.471,32.057,51.862,15.683,74.786,10.95,95.965,78.245,62.884,24.635,40.055,27.915,56.369,75.529,80.061
76.906,46.947,63.33,33.457,58.033,75.28,35.303,125.82,86.698,59.918,26.809,46.337,82.195,75.554,52.399,46.228,24.65,59.465,31.682,51.441,15.538,74.061,10.553,96.043,77.779,62.617,23.63,39.502,27.537,55.692,74.531,80.241
76.292,47.023,63.126,33.049,57.647,74.198,34.823,126.6,86.374,60.036,25.995,46.391,81.487,75.706,51.58,46.229,24.427,58.472,31.309,51.006,15.394,73.34,10.186,96.11,77.313,62.35,22.694,38.953,27.162,55.021,73.54,80.408
75.68,47.085,62.899,32.641,57.262,73.116,34.347,127.31,86.048,60.146,25.221,46.444,80.782,75.839,50.793,46.232,24.208,57.494,30.94,50.557,15.251,72.623,9.8502,96.168,76.849,62.083,21.824,38.409,26.79,54.354,72.557,80.561
75.072,47.134,62.651,32.231,56.878,72.033,33.875,127.97,85.721,60.247,24.486,46.494,80.081,75.953,50.037,46.236,23.996,56.529,30.573,50.095,15.109,71.91,9.5433,96.216,76.386,61.816,21.019,37.868,26.422,53.691,71.58,80.701
74.465,47.169,62.382,31.822,56.496,70.948,33.406,128.57,85.393,60.341,23.79,46.541,79.382,76.049,49.311,46.24,23.788,55.578,30.208,49.62,14.968,71.201,9.2651,96.254,75.924,61.548,20.277,37.332,26.057,53.034,70.61,80.828
73.862,47.191,62.092,31.412,56.116,69.864,32.941,129.12,85.064,60.426,23.131,46.585,78.687,76.127,48.614,46.246,23.586,54.641,29.847,49.132,14.828,70.497,9.0148,96.283,75.463,61.28,19.596,36.799,25.695,52.381,69.648,80.943
73.261,47.201,61.782,31.002,55.737,68.78,32.48,129.61,84.733,60.503,22.509,46.627,77.994,76.188,47.947,46.253,23.389,53.717,29.488,48.632,14.69,69.796,8.7915,96.302,75.004,61.011,18.975,36.271,25.335,51.734,68.692,81.045
72.663,47.197,61.452,30.592,55.359,67.696,32.022,130.05,84.401,60.571,21.922,46.666,77.305,76.23,47.308,46.261,23.198,52.807,29.131,48.121,14.552,69.1,8.5947,96.312,74.545,60.742,18.412,35.747,24.98,51.091,67.744,81.134
72.067,47.181,61.103,30.181,54.983,66.613,31.568,130.44,84.068,60.632,21.371,46.701,76.619,76.256,46.696,46.27,23.011,51.91,28.777,47.598,14.416,68.408,8.4234,96.311,74.087,60.472,17.906,35.228,24.627,50.452,66.803,81.211
71.474,47.152,60.736,29.771,54.609,65.532,31.118,130.78,83.734,60.684,20.855,46.733,75.936,76.264,46.111,46.28,22.829,51.027,28.426,47.065,14.281,67.72,8.277,96.301,73.63,60.201,17.454,34.712,24.277,49.819,65.868,81.275
70.884,47.112,60.351,29.362,54.236,64.452,30.671,131.06,83.399,60.728,20.373,46.762,75.255,76.256,45.551,46.292,22.651,50.157,28.077,46.522,14.146,67.036,8.1547,96.282,73.175,59.929,17.056,34.201,23.931,49.19,64.941,81.328
